epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0659,1.40655,4.49566,2.33276,1.63867,0.66615,0.50037,0.56354,0.47587,0.17287,0.18059,0.09056,0.03657,1.20524,3.80648,1.98135,1.35177,0.00328283,0.00328283,0.00328283
2,112.988,1.08819,3.36191,1.65416,1.35612,0.77282,0.46497,0.52888,0.4106,0.15683,0.18849,0.10659,0.0512,1.35552,3.72857,2.11136,1.4473,0.00660961,0.00660961,0.00660961
3,157.794,1.17227,3.39978,1.5893,1.37504,0.37041,0.51358,0.40028,0.25285,0.21876,0.17556,0.14776,0.06483,1.50843,3.85962,4.78447,1.5853,0.00992979,0.00992979,0.00992979
4,202.357,1.24561,3.42665,1.56418,1.42297,0.31571,0.44532,0.27956,0.15151,0.15174,0.18832,0.06682,0.02183,1.47528,4.15181,7.4022,1.62248,0.0099703,0.0099703,0.0099703
5,248.508,1.25089,3.40007,1.55687,1.41773,0.40012,0.48359,0.32371,0.20145,0.17465,0.11906,0.07339,0.0266,1.5313,3.99409,2.58063,1.61015,0.0099604,0.0099604,0.0099604
6,293.465,1.20159,3.38359,1.48956,1.40987,0.55895,0.44623,0.39774,0.22772,0.14956,0.16715,0.09073,0.03852,1.50908,3.89442,2.55815,1.60589,0.0099505,0.0099505,0.0099505
7,337.929,1.22398,3.47162,1.43048,1.42273,0.61071,0.55553,0.56971,0.4489,0.27163,0.27894,0.13575,0.0615,1.33618,3.55013,2.08907,1.50758,0.0099406,0.0099406,0.0099406
8,382.142,1.11058,3.50773,1.24509,1.38428,0.68689,0.50994,0.54075,0.44545,0.37022,0.22226,0.13245,0.06934,1.27466,3.47125,2.27501,1.39732,0.0099307,0.0099307,0.0099307
9,427.274,1.08007,3.3902,1.19835,1.36913,0.66101,0.56481,0.59432,0.46219,0.33509,0.314,0.18127,0.08622,1.26207,3.4893,1.8409,1.36915,0.0099208,0.0099208,0.0099208
10,472.415,1.07539,3.38907,1.18285,1.36721,0.68185,0.58271,0.61136,0.49553,0.37401,0.30291,0.22657,0.12818,1.22789,3.39674,1.61196,1.36709,0.0099109,0.0099109,0.0099109
11,517.938,1.03722,3.4239,1.13928,1.33949,0.71862,0.55654,0.60476,0.50135,0.35185,0.25814,0.16117,0.08133,1.15551,3.37728,1.50032,1.25629,0.009901,0.009901,0.009901
12,561.214,1.01598,3.38409,1.13796,1.34023,0.6179,0.59097,0.60456,0.49381,0.33604,0.31188,0.18078,0.09057,1.2138,3.46639,1.54119,1.34943,0.0098911,0.0098911,0.0098911
13,606.618,1.00845,3.39009,1.11216,1.33072,0.62871,0.57974,0.5867,0.48621,0.30829,0.28367,0.15332,0.08051,1.19499,3.46733,1.61654,1.31827,0.0098812,0.0098812,0.0098812
14,649.785,0.9866,3.37516,1.11026,1.31408,0.62922,0.59053,0.61894,0.5172,0.35245,0.32081,0.24687,0.14594,1.11208,3.36264,1.5045,1.21914,0.0098713,0.0098713,0.0098713
15,694.247,0.96738,3.31043,1.06642,1.30718,0.6535,0.60911,0.60426,0.50507,0.36249,0.33071,0.19693,0.09986,1.16967,3.4657,1.74487,1.27273,0.0098614,0.0098614,0.0098614
16,738.528,0.99072,3.31025,1.08403,1.31644,0.72838,0.56774,0.60246,0.51065,0.36719,0.26353,0.17009,0.09459,1.12848,3.36518,1.53382,1.25669,0.0098515,0.0098515,0.0098515
17,782.413,0.97949,3.32682,1.08356,1.30141,0.62764,0.56569,0.6029,0.51022,0.31254,0.26179,0.15989,0.08676,1.11378,3.30254,1.48988,1.23908,0.0098416,0.0098416,0.0098416
18,826.789,0.94972,3.3208,1.05155,1.30362,0.73049,0.59696,0.62763,0.51933,0.39088,0.30652,0.23931,0.1311,1.12136,3.35175,1.4425,1.22949,0.0098317,0.0098317,0.0098317
19,870.8,0.95551,3.29305,1.05623,1.29656,0.78491,0.54402,0.60451,0.52075,0.39631,0.24635,0.16143,0.08938,1.09444,3.34423,1.54114,1.22904,0.0098218,0.0098218,0.0098218
20,915.172,0.97327,3.28103,1.08477,1.30496,0.74295,0.55411,0.61803,0.51755,0.41692,0.31357,0.22103,0.11931,1.11019,3.36204,1.63125,1.21567,0.0098119,0.0098119,0.0098119
21,960.181,0.96759,3.25926,1.05777,1.28553,0.69478,0.56781,0.60156,0.51663,0.2959,0.24119,0.13463,0.06855,1.09426,3.33681,1.41533,1.19917,0.009802,0.009802,0.009802
22,1004.2,0.96306,3.27611,1.05657,1.29329,0.80669,0.50343,0.59554,0.51968,0.33855,0.21612,0.15455,0.08442,1.06962,3.35084,1.40584,1.20819,0.0097921,0.0097921,0.0097921
23,1048.2,0.95999,3.2686,1.04831,1.29891,0.71113,0.60474,0.63664,0.52607,0.3278,0.29475,0.18885,0.09912,1.1134,3.26724,1.35714,1.21591,0.0097822,0.0097822,0.0097822
24,1092.79,0.95613,3.21576,1.03345,1.28018,0.69299,0.61459,0.62611,0.52046,0.42441,0.36595,0.24023,0.12386,1.08985,3.53215,1.58258,1.20993,0.0097723,0.0097723,0.0097723
25,1138.21,0.96679,3.25344,1.01674,1.29411,0.77848,0.58036,0.62607,0.52995,0.43575,0.29788,0.20343,0.10703,1.07249,3.23936,1.40479,1.2042,0.0097624,0.0097624,0.0097624
26,1181.57,0.92423,3.19491,1.01594,1.27787,0.69387,0.59533,0.61871,0.52953,0.33138,0.28848,0.1741,0.09242,1.07038,3.30142,1.39214,1.19128,0.0097525,0.0097525,0.0097525
27,1225.75,0.94099,3.1926,1.01637,1.27619,0.72238,0.58896,0.63466,0.53775,0.3648,0.31359,0.19523,0.10447,1.06001,3.3342,1.32367,1.17543,0.0097426,0.0097426,0.0097426
28,1270.36,0.93478,3.23964,1.0095,1.27086,0.68458,0.60619,0.62065,0.53194,0.39609,0.35738,0.23086,0.12426,1.0583,3.36612,1.63816,1.16957,0.0097327,0.0097327,0.0097327
29,1313.22,0.92783,3.23964,1.00792,1.26855,0.73648,0.56673,0.62761,0.54314,0.3373,0.27591,0.17084,0.08797,1.04686,3.2814,1.32319,1.15887,0.0097228,0.0097228,0.0097228
30,1356.19,0.91795,3.16643,0.99115,1.2641,0.81586,0.54799,0.62651,0.5369,0.43319,0.27712,0.20538,0.1144,1.05365,3.31883,1.32115,1.17509,0.0097129,0.0097129,0.0097129
31,1399.62,0.88912,3.23557,0.9799,1.2528,0.75903,0.55492,0.60742,0.51714,0.40176,0.26618,0.17999,0.09396,1.07451,3.3385,1.54881,1.19972,0.009703,0.009703,0.009703
32,1444.85,0.92865,3.19106,0.99995,1.26023,0.73279,0.57291,0.61903,0.53362,0.34392,0.26966,0.17661,0.10035,1.07717,3.28663,1.33397,1.20293,0.0096931,0.0096931,0.0096931
33,1487.56,0.89368,3.17971,0.96578,1.25348,0.66944,0.5888,0.61726,0.52722,0.34724,0.312,0.18697,0.10573,1.07685,3.24676,1.36132,1.18671,0.0096832,0.0096832,0.0096832
34,1531,0.89356,3.1912,0.96599,1.25629,0.68364,0.6021,0.62458,0.53325,0.37399,0.33619,0.20638,0.11594,1.0575,3.36234,1.37059,1.15767,0.0096733,0.0096733,0.0096733
35,1575.12,0.89195,3.18277,0.97502,1.25304,0.71352,0.56278,0.621,0.53455,0.3094,0.29193,0.1747,0.09379,1.05511,3.27404,1.34113,1.17936,0.0096634,0.0096634,0.0096634
36,1618.89,0.901,3.14167,0.97435,1.26404,0.78107,0.56993,0.6229,0.53931,0.44673,0.29923,0.20727,0.11527,1.04942,3.20534,1.37404,1.17919,0.0096535,0.0096535,0.0096535
37,1661.87,0.89102,3.1436,0.94297,1.24167,0.75407,0.57521,0.61781,0.52794,0.34028,0.25204,0.16226,0.09215,1.06788,3.31106,1.34688,1.18244,0.0096436,0.0096436,0.0096436
38,1705.64,0.89991,3.11505,0.96188,1.25475,0.71365,0.60482,0.64291,0.53348,0.37789,0.3324,0.21129,0.11597,1.1038,3.23561,1.35482,1.21279,0.0096337,0.0096337,0.0096337
39,1749.51,0.89112,3.14949,0.96131,1.25916,0.67299,0.59869,0.63524,0.53748,0.35611,0.31276,0.21939,0.11205,1.06407,3.26901,1.31322,1.16907,0.0096238,0.0096238,0.0096238
40,1793.3,0.89414,3.12974,0.95792,1.25895,0.71856,0.59688,0.6454,0.54931,0.34482,0.30002,0.17964,0.09701,1.04724,3.29198,1.28896,1.17743,0.0096139,0.0096139,0.0096139
41,1836.97,0.88881,3.1418,0.94547,1.25403,0.683,0.60129,0.63453,0.53333,0.38346,0.3333,0.21397,0.11528,1.04375,3.24286,1.28369,1.16784,0.009604,0.009604,0.009604
42,1881.31,0.89993,3.08144,0.9614,1.26516,0.72531,0.61049,0.65183,0.54649,0.42755,0.34195,0.26312,0.14749,1.05852,3.3178,1.33979,1.1644,0.0095941,0.0095941,0.0095941
43,1925.41,0.87283,3.12753,0.93889,1.24614,0.7952,0.56936,0.63417,0.5453,0.44241,0.27259,0.21479,0.12386,1.03547,3.21152,1.3416,1.15571,0.0095842,0.0095842,0.0095842
44,1969.18,0.87213,3.07012,0.92735,1.24886,0.73186,0.5849,0.62375,0.53589,0.41011,0.30133,0.20788,0.1143,1.06698,3.35693,1.34526,1.18566,0.0095743,0.0095743,0.0095743
45,2013.75,0.86929,3.13419,0.94137,1.23684,0.71312,0.60088,0.63663,0.53734,0.40079,0.33604,0.22773,0.12541,1.06275,3.37913,1.3512,1.16772,0.0095644,0.0095644,0.0095644
46,2057.44,0.89365,3.10683,0.95073,1.24437,0.75409,0.56437,0.63291,0.5383,0.39776,0.28809,0.24074,0.14728,1.04282,3.24134,1.41936,1.17158,0.0095545,0.0095545,0.0095545
47,2101.09,0.87693,3.12376,0.95607,1.24331,0.69557,0.62109,0.64238,0.55013,0.3593,0.329,0.19943,0.10337,1.03911,3.26634,1.28989,1.15525,0.0095446,0.0095446,0.0095446
48,2145.83,0.87998,3.0525,0.92272,1.23566,0.68403,0.61851,0.64078,0.5475,0.37278,0.34077,0.22282,0.12719,1.04639,3.29414,1.29311,1.16338,0.0095347,0.0095347,0.0095347
49,2190.09,0.8984,3.02823,0.94359,1.2421,0.71028,0.60839,0.63932,0.5451,0.40942,0.34029,0.22053,0.12141,1.02117,3.28659,1.28764,1.14847,0.0095248,0.0095248,0.0095248
50,2233.9,0.86093,3.0299,0.92036,1.23045,0.69421,0.6135,0.65246,0.54994,0.37568,0.35348,0.22495,0.12078,1.06015,3.26819,1.29541,1.17618,0.0095149,0.0095149,0.0095149
51,2277.93,0.87151,3.0601,0.92782,1.23624,0.68419,0.57931,0.62854,0.53646,0.29509,0.28198,0.18726,0.10945,1.06817,3.29008,1.29257,1.19781,0.009505,0.009505,0.009505
